Indexed Name,Repo URL,Category,,,,Groups,Count
1125_mogoweb_365browser,https://github.com/mogoweb/365browser.git,browser,,,,browser,2
36_jackyandroid_androidchromium,https://github.com/jackyandroid/androidchromium.git,browser,,,,client,8
1629_8enet_appopsx,https://github.com/8enet/appopsx.git,client,security,app permissions,,demo,4
1740_mummyding_awesome-campus,https://github.com/mummyding/awesome-campus.git,client,entertainment,navigation,,dev tool,66
2242_f-droid_fdroidclient,https://github.com/f-droid/fdroidclient.git,client,repository,,,entertainment,22
2961_wiglenet_wigle-wifi-wardriving,https://github.com/wiglenet/wigle-wifi-wardriving.git,client,wifi,,,finance,11
3731_playerone-id_eoscommander,https://github.com/playerone-id/eoscommander.git,client,,,,health,3
4_nextcloud_android,https://github.com/nextcloud/android.git,client,,,,library,11
604_haiwen_seadroid,https://github.com/haiwen/seadroid.git,client,,,,security,39
7_meganz_android,https://github.com/meganz/android.git,client,,,,social,23
187_nisrulz_android-examples,https://github.com/nisrulz/android-examples.git,demo,library,,,utility,11
2426_ttdevs_android,https://github.com/ttdevs/android.git,demo,,,,,
2837_aliyun_alicloud-android-demo,https://github.com/aliyun/alicloud-android-demo.git,demo,,,,Total,200
872_bobomee_android-demos,https://github.com/bobomee/android-demos.git,demo,,,,,
1044_corbinlc_gnurootdebian,https://github.com/corbinlc/gnurootdebian.git,dev tool,rootkit,,,,
1062_jecelyin_920-text-editor-v2,https://github.com/jecelyin/920-text-editor-v2.git,dev tool,text editor,,,,
1297_netease_emmagee,https://github.com/netease/emmagee.git,dev tool,performance,,,,
1325_fmstrat_odm,https://github.com/fmstrat/odm.git,dev tool,device manager,,,,
1358_plutoarchitecture_pluto-android,https://github.com/plutoarchitecture/pluto-android.git,dev tool,framework,,,,
2027_yanzhenjie_nohttp,https://github.com/yanzhenjie/nohttp.git,dev tool,library,,,,
2130_yanzhenjie_kalle,https://github.com/yanzhenjie/kalle.git,dev tool,client,http,,,
2168_ac-pm_inspeckage,https://github.com/ac-pm/inspeckage.git,dev tool,,,,,
2213_czp3009_bilibili-api,https://github.com/czp3009/bilibili-api.git,dev tool,library,,,,
2252_qpython-android_qpython,https://github.com/qpython-android/qpython.git,dev tool,python,,,,
2256_samuelhuahui_sun,https://github.com/samuelhuahui/sun.git,dev tool,sdk,,,,
2335_yandextaxitech_binaryprefs,https://github.com/yandextaxitech/binaryprefs.git,dev tool,storage,,,,
2349_bihe0832_android-getapkinfo,https://github.com/bihe0832/android-getapkinfo.git,dev tool,apk,,,,
2368_appium_sign,https://github.com/appium/sign.git,dev tool,apk,,,,
2427_survivingwithandroid_surviving-with-android,https://github.com/survivingwithandroid/surviving-with-android.git,dev tool,library,,,,
2540_espressifapp_esptouchforandroid,https://github.com/espressifapp/esptouchforandroid.git,dev tool,network,,,,
2658_onyxbits_raccoon4,https://github.com/onyxbits/raccoon4.git,dev tool,apk,,,,
2688_litepalframework_litepal,https://github.com/litepalframework/litepal.git,dev tool,library,sql,,,
2697_limedroid_xdroidmvp,https://github.com/limedroid/xdroidmvp.git,dev tool,sdk,,,,
2731_novoda_android-demos,https://github.com/novoda/android-demos.git,dev tool,library,,,,
2769_panpf_android-toolbox,https://github.com/panpf/android-toolbox.git,dev tool,library,,,,
2840_twitter_twitter-kit-android,https://github.com/twitter/twitter-kit-android.git,dev tool,social,twitter,,,
2864_crossbario_autobahn-java,https://github.com/crossbario/autobahn-java.git,dev tool,network,messenger,,,
2912_ljycoder_devring,https://github.com/ljycoder/devring.git,dev tool,library,,,,
2956_nisrulz_android-utils,https://github.com/nisrulz/android-utils.git,dev tool,library,,,,
2963_konloch_bytecode-viewer,https://github.com/konloch/bytecode-viewer.git,dev tool,library,,,,
3006_senhlinsh_utils-everywhere,https://github.com/senhlinsh/utils-everywhere.git,dev tool,library,,,,
3014_paypal_selion,https://github.com/paypal/selion.git,dev tool,test automation,,,,
3015_fly803_baseproject,https://github.com/fly803/baseproject.git,dev tool,library,,,,
3021_vondear_rxtool,https://github.com/vondear/rxtool.git,dev tool,library,,,,
3102_jz-darkal_androidhttpcapture,https://github.com/jz-darkal/androidhttpcapture.git,dev tool,network,,,,
3125_cloudant_sync-android,https://github.com/cloudant/sync-android.git,dev tool,data store,,,,
313_shwenzhang_andresguard,https://github.com/shwenzhang/andresguard.git,dev tool,,,,,
3219_dizitart_nitrite-database,https://github.com/dizitart/nitrite-database.git,dev tool,data store,,,,
3266_fanhua1994_xbaseandroid,https://github.com/fanhua1994/xbaseandroid.git,dev tool,,,,,
3289_azuread_azure-activedirectory-library-for-android,https://github.com/azuread/azure-activedirectory-library-for-android.git,dev tool,sdk,,,,
3305_termux_termux-api,https://github.com/termux/termux-api.git,dev tool,api,,,,
3308_l123456789jy_lazy,https://github.com/l123456789jy/lazy.git,dev tool,library,,,,
3329_jackwhliu_jackknife,https://github.com/jackwhliu/jackknife.git,dev tool,library,,,,
3364_skydoves_preferenceroom,https://github.com/skydoves/preferenceroom.git,dev tool,library,,,,
3441_jwtk_jjwt,https://github.com/jwtk/jjwt.git,dev tool,token,,,,
3485_thirtydegreesray_openhub,https://github.com/thirtydegreesray/openhub.git,dev tool,github,client,,,
3540_novoda_spikes,https://github.com/novoda/spikes.git,dev tool,library,,,,
3562_x-falcon_virtual-hosts,https://github.com/x-falcon/virtual-hosts.git,dev tool,,,,,
3571_gravitybox_gravitybox,https://github.com/gravitybox/gravitybox.git,dev tool,,,,,
3584_blankj_androidutilcode,https://github.com/blankj/androidutilcode.git,dev tool,library,,,,
362_calebfenton_simplify,https://github.com/calebfenton/simplify.git,dev tool,,,,,
3685_niranjan94_show-java,https://github.com/niranjan94/show-java.git,dev tool,sdk,,,,
3707_matrix-org_matrix-android-sdk,https://github.com/matrix-org/matrix-android-sdk.git,dev tool,sdk,,,,
378_aws-amplify_aws-sdk-android,https://github.com/aws-amplify/aws-sdk-android.git,dev tool,library,,,,
3789_freeyourgadget_gadgetbridge,https://github.com/freeyourgadget/gadgetbridge.git,dev tool,repo,,,,
3823_afkt_devutils,https://github.com/afkt/devutils.git,dev tool,,,,,
441_forcedotcom_salesforcemobilesdk-android,https://github.com/forcedotcom/salesforcemobilesdk-android.git,dev tool,,,,,
444_teamamaze_amazefilemanager,https://github.com/teamamaze/amazefilemanager.git,dev tool,,,,,
455_gcssloop_encrypt,https://github.com/gcssloop/encrypt.git,dev tool,security,,,,
520_braintree_braintree_android,https://github.com/braintree/braintree_android.git,dev tool,finance,,,,
578_aliyun_aliyun-oss-android-sdk,https://github.com/aliyun/aliyun-oss-android-sdk.git,dev tool,storage,,,,
584_open-keychain_open-keychain,https://github.com/open-keychain/open-keychain.git,dev tool,security,,,,
653_consenlabs_token-core-android,https://github.com/consenlabs/token-core-android.git,dev tool,security,library,,,
659_topjohnwu_magiskmanager,https://github.com/topjohnwu/magiskmanager.git,dev tool,rootkit,,,,
771_gjson_androidtools,https://github.com/gjson/androidtools.git,dev tool,,,,,
780_web3j_web3j,https://github.com/web3j/web3j.git,dev tool,client,library,,,
877_eugenehoran_android-material-searchview,https://github.com/eugenehoran/android-material-searchview.git,dev tool,library,,,,
889_infinum_android-goldfinger,https://github.com/infinum/android-goldfinger.git,dev tool,library,security,,,
893_topjohnwu_magisk,https://github.com/topjohnwu/magisk.git,dev tool,rootkit,,,,
956_pubnub_java,https://github.com/pubnub/java.git,dev tool,library,,,,
1069_gpfduoduo_airplay-receiver-on-android,https://github.com/gpfduoduo/airplay-receiver-on-android.git,entertainment,,,,,
1162_gjtorikian_shelves,https://github.com/gjtorikian/shelves.git,entertainment,,,,,
1305_fyhertz_spydroid-ipcamera,https://github.com/fyhertz/spydroid-ipcamera.git,entertainment,,,,,
1586_puredark_h-viewer,https://github.com/puredark/h-viewer.git,entertainment,reader,,,,
1938_arachnid-27_cimoc,https://github.com/arachnid-27/cimoc.git,entertainment,reader,,,,
1961_jenly1314_wanandroid,https://github.com/jenly1314/wanandroid.git,entertainment,social,client,,,
1962_aa112901_remusic,https://github.com/aa112901/remusic.git,entertainment,music,,,,
1995_kangdongpu_wanandroid,https://github.com/kangdongpu/wanandroid.git,entertainment,social,,,,
