id, repo, code
2,owncloud_android,40529
4,nextcloud_android,58104
6,blankj_androidutilcode,25400
7,meganz_android,185487
17,ttdevs_android,7398
28,fetlife_android,26493
33,jaydenxiao2016_androidfire,25206
34,signalapp_signal-android,90224
36,jackyandroid_androidchromium,144923
44,drklo_telegram,385768
55,jz-darkal_androidhttpcapture,16480
71,survivingwithandroid_surviving-with-android,10496
115,novoda_android-demos,8219
133,commonsguy_cw-omnibus,91304
139,google_exoplayer,129895
149,jackpal_android-terminal-emulator,11693
187,nisrulz_android-examples,12323
218,guardianproject_chatsecureandroid,37213
236,googlesamples_android-fingerprintdialog,529
237,schwabe_ics-openvpn,19166
296,mycelium-com_wallet-android,150878
306,mcxiaoke_android-next,20009
313,shwenzhang_andresguard,6007
315,ukanth_afwall,21044
327,coinomi_coinomi-android,50439
333,google_google-authenticator-android,6133
360,aliyun_alicloud-android-demo,6531
362,calebfenton_simplify,20681
368,bpellin_keepassdroid,17404
378,aws-amplify_aws-sdk-android,576063
391,breadwallet_breadwallet-android,32249
398,twitter_twitter-kit-android,27610
399,sromku_android-storage,1603
426,butterproject_butter-android,42117
429,applozic_applozic-android-sdk,48942
441,forcedotcom_salesforcemobilesdk-android,39103
444,teamamaze_amazefilemanager,34456
455,gcssloop_encrypt,1050
485,federicoiosue_omni-notes,14533
497,dineshshetty_android-insecurebankv2,1576
504,zeapo_android-password-store,4772
509,espressifapp_esptouchforandroid,1829
520,braintree_braintree_android,31880
521,freeotp_freeotp-android,1906
530,nelenkov_android-backup-extractor,419
578,aliyun_aliyun-oss-android-sdk,15451
583,dreamingincodezh_douya,50454
584,open-keychain_open-keychain,71028
602,wordpress-mobile_passcodelock-android,858
604,haiwen_seadroid,33227
622,cheikh-wang_lazywaimai-android,14344
636,klinker24_talon-for-twitter-android,64716
638,uccmawei_fingerprintidentify,846
639,cgeo_cgeo,79440
653,consenlabs_token-core-android,7803
659,topjohnwu_magiskmanager,6697
672,fanhua1994_xbaseandroid,19079
673,fossasia_loklak_wok_android,3652
679,samourai-wallet_samourai-wallet-android,27544
686,philippc_keepass2android,64976
730,trustwallet_trust-wallet-android-source,8656
738,cloudant_sync-android,40070
748,moneymanagerex_android-money-manager-ex,52324
761,tomroush_pdfbox-android,82364
763,jwtk_jjwt,5271
771,gjson_androidtools,6826
780,web3j_web3j,32133
795,mogoweb_365browser,313855
820,niranjan94_show-java,62667
844,victoralbertos_rxcache,7418
872,bobomee_android-demos,15486
877,eugenehoran_android-material-searchview,1236
882,zom_zom-android,48625
889,infinum_android-goldfinger,1305
893,topjohnwu_magisk,8418
909,m2049r_xmrwallet,17689
911,plutoarchitecture_pluto-android,12060
923,signalapp_libsignal-protocol-java,19156
939,horaapps_leafpic,14047
951,siacs_conversations,51941
956,pubnub_java,11436
971,klinker24_talon-twitter-holo,60768
1044,corbinlc_gnurootdebian,53691
1055,puffopensource_puff-android,8305
1062,jecelyin_920-text-editor-v2,24164
1069,gpfduoduo_airplay-receiver-on-android,30190
1077,jackpal_android-terminal-emulator,11693
1079,guardianproject_chatsecureandroid,37213
1124,pazaan_600seriesandroiduploader,15954
1125,mogoweb_365browser,313855
1162,gjtorikian_shelves,49276
1172,googlesamples_android-fingerprintdialog,529
1191,googlesamples_android-confirmcredential,135
1205,0xbb_otp-authenticator,1316
1228,tozny_java-aes-crypto,554
1291,bobomee_android-demos,15486
1294,ophio_secure-preferences,916
1297,netease_emmagee,2425
1305,fyhertz_spydroid-ipcamera,7857
1325,fmstrat_odm,2873
1357,eugenehoran_android-material-searchview,1236
1358,plutoarchitecture_pluto-android,12060
1403,gcssloop_encrypt,1050
1408,multidots_android-fingerprint-authentication,327
1409,mauin_rxfingerprint,1730
1453,google_samba-documents-provider,4224
1527,qiniu_happy-dns-android,1680
1529,victoralbertos_rxsocialconnect-android,2197
1557,maxsmile_easyvpn-free,9706
1586,puredark_h-viewer,26184
1606,materialos_android-icon-pack,9033
1629,8enet_appopsx,11008
1740,mummyding_awesome-campus,23762
1749,cternes_openkeepass,7411
1766,greenaddress_walletcordova,5318
1776,mcxiaoke_android-next,20009
1781,infinum_android-goldfinger,1305
1792,google_capillary,3965
1852,klinker24_talon-twitter-holo,60768
1890,harshalbenake_hbworkspace2-100,146700
1899,maxcamillo_android-keystore-password-recover,1410
1924,dineshshetty_android-insecurebankv2,1576
1927,topjohnwu_magiskmanager,6697
1938,arachnid-27_cimoc,19058
1942,yuger_vpn_2017,5623
1961,jenly1314_wanandroid,4769
1962,aa112901_remusic,40955
1995,kangdongpu_wanandroid,5667
2027,yanzhenjie_nohttp,9198
2059,commonsguy_cw-omnibus,91304
2130,yanzhenjie_kalle,9259
2143,eric0liang_cardocr,2036
2153,wordpress-mobile_passcodelock-android,858
2168,ac-pm_inspeckage,6361
2187,butterproject_butter-android,42117
2201,quicklyric_quicklyric,13160
2213,czp3009_bilibili-api,15833
2242,f-droid_fdroidclient,40020
2252,qpython-android_qpython,31343
2256,samuelhuahui_sun,13883
2261,kevalpatel2106_passcodeview,3464
2270,jaydenxiao2016_androidfire,25206
2281,commonsguy_cw-androidarch,14240
2293,silenceim_silence,45950
2306,bpellin_keepassdroid,17404
2320,oraclechain_pocketeos-android,36416
2332,telegram-foss-team_telegram-foss,384041
2335,yandextaxitech_binaryprefs,5902
2347,signalapp_libsignal-protocol-java,19156
2349,bihe0832_android-getapkinfo,12817
2352,charlieandroiddev_instagram4android,2709
2368,appium_sign,807
2426,ttdevs_android,7398
2427,survivingwithandroid_surviving-with-android,10496
2430,nisrulz_android-examples,12323
2432,coinomi_coinomi-android,50439
2439,victoralbertos_rxcache,7418
2441,horaapps_leafpic,14047
2453,adorsys_secure-storage-android,652
2517,popcorn-official_popcorn-android,45135
2540,espressifapp_esptouchforandroid,1829
2541,nelenkov_android-backup-extractor,419
2548,fossasia_loklak_wok_android,3652
2551,trustwallet_trust-wallet-android-source,8656
2611,calebfenton_simplify,20681
2613,sromku_android-storage,1603
2635,xiaohaibin_openeyes,11566
2642,manuelsc_lunary-ethereum-wallet,7374
2645,rtyley_spongycastle,612475
2658,onyxbits_raccoon4,149121
2665,meganz_android,185487
2688,litepalframework_litepal,12118
2697,limedroid_xdroidmvp,6003
2731,novoda_android-demos,8219
2769,panpf_android-toolbox,10556
2835,ukanth_afwall,21044
2836,google_google-authenticator-android,6133
2837,aliyun_alicloud-android-demo,6531
2840,twitter_twitter-kit-android,27610
2843,freeotp_freeotp-android,1906
2850,consenlabs_token-core-android,7803
2859,pubnub_java,11436
2864,crossbario_autobahn-java,7482
2868,mjwheatley_cordova-plugin-android-fingerprint-auth,984
2902,simbiose_encryption,902
2907,kunzisoft_keepassdx,24451
2912,ljycoder_devring,48995
2956,nisrulz_android-utils,1916
2961,wiglenet_wigle-wifi-wardriving,24169
2963,konloch_bytecode-viewer,53037
2974,tgwizard_sls,9400
3006,senhlinsh_utils-everywhere,10190
3014,paypal_selion,38205
3015,fly803_baseproject,26698
3021,vondear_rxtool,43579
3022,drklo_telegram,385768
3038,braintree_braintree_android,31880
3040,dreamingincodezh_douya,50454
3042,cheikh-wang_lazywaimai-android,14344
3045,gjson_androidtools,6826
3056,omadahealth_lollipin,1933
3094,javiersantos_piracychecker,1888
3100,jackyandroid_androidchromium,144923
3102,jz-darkal_androidhttpcapture,16480
3105,schwabe_ics-openvpn,19166
3111,breadwallet_breadwallet-android,32249
3122,klinker24_talon-for-twitter-android,64716
3125,cloudant_sync-android,40070
3126,moneymanagerex_android-money-manager-ex,52324
3159,citiususc_calendula,26230
3162,murgo_irssinotifier,3433
3166,mcodex_react-native-sensitive-info,680
3182,tencent_soter,5079
3190,signalapp_libsignal-service-java,39390
3195,megatronking_stringfog,1238
3203,iammehedi_secured-preference-store,1456
3219,dizitart_nitrite-database,41554
3222,opentelecoms-org_lumicall,19040
3235,surespot_android,41218
3249,shwenzhang_andresguard,6007
3251,aws-amplify_aws-sdk-android,576063
3257,forcedotcom_salesforcemobilesdk-android,39103
3260,federicoiosue_omni-notes,14533
3263,open-keychain_open-keychain,71028
3264,uccmawei_fingerprintidentify,846
3266,fanhua1994_xbaseandroid,19079
3275,zom_zom-android,48625
3289,azuread_azure-activedirectory-library-for-android,45537
3304,oblador_react-native-keychain,653
3305,termux_termux-api,5025
3308,l123456789jy_lazy,12738
3329,jackwhliu_jackknife,14593
3339,antest1_kcanotify,30523
3364,skydoves_preferenceroom,1678
3375,hankkin_reading,16641
3422,zeapo_android-password-store,4772
3437,samourai-wallet_samourai-wallet-android,27544
3440,tomroush_pdfbox-android,82364
3441,jwtk_jjwt,5271
3463,connectbot_connectbot,18292
3485,thirtydegreesray_openhub,28647
3494,tasks_tasks,43772
3540,novoda_spikes,28908
3562,x-falcon_virtual-hosts,18398
3563,rehacktive_waspdb,1296
3571,gravitybox_gravitybox,47033
3582,owncloud_android,40529
3583,nextcloud_android,59172
3584,blankj_androidutilcode,25400
3588,fetlife_android,26493
3589,signalapp_signal-android,90328
3605,google_exoplayer,129895
3630,mycelium-com_wallet-android,150735
3645,applozic_applozic-android-sdk,48942
3647,teamamaze_amazefilemanager,34456
3660,aliyun_aliyun-oss-android-sdk,15451
3663,haiwen_seadroid,33243
3666,cgeo_cgeo,79450
3670,philippc_keepass2android,64976
3680,web3j_web3j,32133
3685,niranjan94_show-java,62667
3691,topjohnwu_magisk,8418
3692,m2049r_xmrwallet,17689
3697,siacs_conversations,51952
3706,kde_kdeconnect-android,13786
3707,matrix-org_matrix-android-sdk,46185
3720,nextcloud_talk-android,17492
3726,andotp_andotp,6052
3731,playerone-id_eoscommander,10087
3732,mtotschnig_myexpenses,68209
3740,mpusher_mpush,16861
3755,uwetrottmann_seriesguide,46117
3759,jamorham_xdrip-plus,109466
3760,iiordanov_remote-desktop-clients,35810
3769,pedrosg94_rtmp-rtsp-stream-client-java,19850
3777,m66b_open-source-email,17059
3782,shouheng88_marknote,23412
3784,opendatakit_collect,52101
3789,freeyourgadget_gadgetbridge,50990
