id, repo, code, class, method, field
2,owncloud_android,40529,349,2862,1863
4,nextcloud_android,58104,568,3925,2699
6,blankj_androidutilcode,25400,263,2895,803
7,meganz_android,185487,789,9012,7756
17,ttdevs_android,7398,150,695,371
28,fetlife_android,26493,311,2692,1161
33,jaydenxiao2016_androidfire,25206,356,2855,1488
34,signalapp_signal-android,90224,1326,8838,4540
36,jackyandroid_androidchromium,144923,1656,15607,8772
44,drklo_telegram,385768,3254,22532,20555
55,jz-darkal_androidhttpcapture,16480,213,1541,891
71,survivingwithandroid_surviving-with-android,10496,444,928,793
115,novoda_android-demos,8219,166,911,554
133,commonsguy_cw-omnibus,91304,2232,9506,4540
139,google_exoplayer,129895,1305,9859,7687
149,jackpal_android-terminal-emulator,11693,101,894,854
187,nisrulz_android-examples,12323,482,1212,434
218,guardianproject_chatsecureandroid,37213,372,2977,2257
236,googlesamples_android-fingerprintdialog,529,7,41,34
237,schwabe_ics-openvpn,19166,172,1374,938
296,mycelium-com_wallet-android,150878,1504,15916,6879
306,mcxiaoke_android-next,20009,235,2360,836
313,shwenzhang_andresguard,6007,63,469,307
315,ukanth_afwall,21044,186,1550,863
327,coinomi_coinomi-android,50439,502,4974,2405
333,google_google-authenticator-android,6133,86,630,244
360,aliyun_alicloud-android-demo,6531,90,543,265
362,calebfenton_simplify,20681,297,2013,833
368,bpellin_keepassdroid,17404,304,1681,988
378,aws-amplify_aws-sdk-android,576063,8447,58603,16822
391,breadwallet_breadwallet-android,32249,298,2626,1650
398,twitter_twitter-kit-android,27610,471,2786,1745
399,sromku_android-storage,1603,29,157,78
426,butterproject_butter-android,42117,741,4466,2104
429,applozic_applozic-android-sdk,48942,433,4513,3023
441,forcedotcom_salesforcemobilesdk-android,39103,365,3513,2043
444,teamamaze_amazefilemanager,34456,336,2271,1534
455,gcssloop_encrypt,1050,19,55,35
485,federicoiosue_omni-notes,14533,178,1172,627
497,dineshshetty_android-insecurebankv2,1576,23,107,88
504,zeapo_android-password-store,4772,48,365,174
509,espressifapp_esptouchforandroid,1829,25,148,99
520,braintree_braintree_android,31880,386,3096,1213
521,freeotp_freeotp-android,1906,29,177,95
530,nelenkov_android-backup-extractor,419,2,16,15
578,aliyun_aliyun-oss-android-sdk,15451,206,1629,774
583,dreamingincodezh_douya,50454,978,5807,2697
584,open-keychain_open-keychain,71028,807,5653,2819
602,wordpress-mobile_passcodelock-android,858,13,102,40
604,haiwen_seadroid,33227,354,3056,1844
622,cheikh-wang_lazywaimai-android,14344,245,1669,715
636,klinker24_talon-for-twitter-android,64716,513,3984,3224
638,uccmawei_fingerprintidentify,846,22,120,34
639,cgeo_cgeo,79440,1082,7784,3221
653,consenlabs_token-core-android,7803,103,697,315
659,topjohnwu_magiskmanager,6697,106,511,433
672,fanhua1994_xbaseandroid,19079,212,2112,709
673,fossasia_loklak_wok_android,3652,66,359,295
679,samourai-wallet_samourai-wallet-android,27544,182,1903,1006
686,philippc_keepass2android,64976,710,4928,3582
730,trustwallet_trust-wallet-android-source,8656,207,784,537
738,cloudant_sync-android,40070,483,3270,1061
748,moneymanagerex_android-money-manager-ex,52324,577,4432,1985
761,tomroush_pdfbox-android,82364,797,7092,2970
763,jwtk_jjwt,5271,118,537,148
771,gjson_androidtools,6826,109,673,399
780,web3j_web3j,32133,601,3446,1164
795,mogoweb_365browser,313855,4232,33176,18689
820,niranjan94_show-java,62667,931,5852,2233
844,victoralbertos_rxcache,7418,147,772,260
872,bobomee_android-demos,15486,344,1651,647
877,eugenehoran_android-material-searchview,1236,26,176,66
882,zom_zom-android,48625,401,3634,2585
889,infinum_android-goldfinger,1305,29,174,73
893,topjohnwu_magisk,8418,148,615,490
909,m2049r_xmrwallet,17689,183,1710,877
911,plutoarchitecture_pluto-android,12060,137,1064,521
923,signalapp_libsignal-protocol-java,19156,187,2331,719
939,horaapps_leafpic,14047,178,1396,689
951,siacs_conversations,51941,449,4041,1822
956,pubnub_java,11436,144,959,560
971,klinker24_talon-twitter-holo,60768,435,3378,2489
1044,corbinlc_gnurootdebian,53691,469,3433,3985
1055,puffopensource_puff-android,8305,116,815,467
1062,jecelyin_920-text-editor-v2,24164,287,2402,1129
1069,gpfduoduo_airplay-receiver-on-android,30190,369,2675,2361
1077,jackpal_android-terminal-emulator,11693,101,894,854
1079,guardianproject_chatsecureandroid,37213,372,2977,2257
1124,pazaan_600seriesandroiduploader,15954,162,1772,1043
1125,mogoweb_365browser,313855,4232,33176,18689
1162,gjtorikian_shelves,49276,393,2845,2496
1172,googlesamples_android-fingerprintdialog,529,7,41,34
1191,googlesamples_android-confirmcredential,135,1,8,5
1205,0xbb_otp-authenticator,1316,15,104,32
1228,tozny_java-aes-crypto,554,8,52,28
1291,bobomee_android-demos,15486,344,1651,647
1294,ophio_secure-preferences,916,21,97,51
1297,netease_emmagee,2425,28,141,181
1305,fyhertz_spydroid-ipcamera,7857,84,611,489
1325,fmstrat_odm,2873,38,170,155
1357,eugenehoran_android-material-searchview,1236,26,176,66
1358,plutoarchitecture_pluto-android,12060,137,1064,521
1403,gcssloop_encrypt,1050,19,55,35
1408,multidots_android-fingerprint-authentication,327,6,29,16
1409,mauin_rxfingerprint,1730,37,189,63
1453,google_samba-documents-provider,4224,70,395,284
1527,qiniu_happy-dns-android,1680,36,125,60
1529,victoralbertos_rxsocialconnect-android,2197,53,254,50
1557,maxsmile_easyvpn-free,9706,85,694,542
1586,puredark_h-viewer,26184,296,1784,1294
