id, repo, group, code, class, method, field
4,nextcloud_android,client,58104,568,3921,2699
6,blankj_androidutilcode,dev tool,25400,263,2882,803
7,meganz_android,client,185487,789,8827,7756
17,ttdevs_android,demo,7398,150,687,371
33,jaydenxiao2016_androidfire,entertainment,25206,356,2818,1488
36,jackyandroid_androidchromium,browser,144923,1656,14536,8772
44,drklo_telegram,social,385768,3254,22192,20555
55,jz-darkal_androidhttpcapture,dev tool,16480,213,1530,891
71,survivingwithandroid_surviving-with-android,dev tool,10496,444,928,793
149,jackpal_android-terminal-emulator,utility,11693,101,869,854
218,guardianproject_chatsecureandroid,social,37213,372,2927,2257
236,googlesamples_android-fingerprintdialog,security,529,7,41,34
306,mcxiaoke_android-next,library,20009,235,2338,836
315,ukanth_afwall,security,21044,186,1547,863
327,coinomi_coinomi-android,finance,50439,502,4959,2405
333,google_google-authenticator-android,security,6133,86,630,244
360,aliyun_alicloud-android-demo,demo,6531,90,540,265
362,calebfenton_simplify,dev tool,20681,297,1987,833
368,bpellin_keepassdroid,security,17404,304,1610,988
378,aws-amplify_aws-sdk-android,dev tool,576063,8447,58489,16822
391,breadwallet_breadwallet-android,finance,32249,298,2612,1650
398,twitter_twitter-kit-android,dev tool,27610,471,2767,1745
399,sromku_android-storage,library,1603,29,157,78
426,butterproject_butter-android,entertainment,42117,741,4418,2104
429,applozic_applozic-android-sdk,social,48942,433,4505,3023
441,forcedotcom_salesforcemobilesdk-android,dev tool,39103,365,3498,2043
444,teamamaze_amazefilemanager,dev tool,34456,336,2243,1534
455,gcssloop_encrypt,dev tool,1050,19,53,35
485,federicoiosue_omni-notes,social,14533,178,1168,627
497,dineshshetty_android-insecurebankv2,security,1576,23,107,88
504,zeapo_android-password-store,security,4772,48,363,174
509,espressifapp_esptouchforandroid,dev tool,1829,25,148,99
520,braintree_braintree_android,dev tool,31880,386,3080,1213
521,freeotp_freeotp-android,security,1906,29,174,95
530,nelenkov_android-backup-extractor,utility,419,2,16,15
578,aliyun_aliyun-oss-android-sdk,dev tool,15451,206,1621,774
583,dreamingincodezh_douya,entertainment,50454,978,5758,2697
584,open-keychain_open-keychain,dev tool,71028,807,5346,2819
602,wordpress-mobile_passcodelock-android,security,858,13,94,40
604,haiwen_seadroid,client,33227,354,3020,1844
622,cheikh-wang_lazywaimai-android,entertainment,14344,245,1642,715
636,klinker24_talon-for-twitter-android,social,64716,513,3961,3224
638,uccmawei_fingerprintidentify,security,846,22,118,34
639,cgeo_cgeo,entertainment,79440,1082,7677,3221
653,consenlabs_token-core-android,dev tool,7803,103,691,315
659,topjohnwu_magiskmanager,dev tool,6697,106,500,433
672,fanhua1994_xbaseandroid,dev tool,19079,212,2098,709
673,fossasia_loklak_wok_android,social,3652,66,359,295
679,samourai-wallet_samourai-wallet-android,finance,27544,182,1900,1006
686,philippc_keepass2android,security,64976,710,4858,3582
730,trustwallet_trust-wallet-android-source,finance,8656,207,767,537
738,cloudant_sync-android,dev tool,40070,483,3243,1061
